Sno,District,State,Category,District_level_Infected,Deaths,Total number of Primary Health Centres,Total number of Community Health Centres,Total number of Subdivisional Hospitals,Total number of Divisional Hospitals
463,Raigarh,Chhattisgarh,Green,9,0,50,9,3,1
464,Bilaspur,Chhattisgarh,Green,18,0,27,3,0,1
465,Burhanpur,Madhya Pradesh,Red,229,16,15,4,0,1
466,Morena,Madhya Pradesh,Green,54,0,24,7,3,1
467,Bhind,Madhya Pradesh,Green,27,0,14,7,1,1
468,Gwalior,Madhya Pradesh,Green,79,2,25,3,4,1
469,Sheopur,Madhya Pradesh,Green,7,0,7,3,0,1
470,Shivpuri,Madhya Pradesh,Green,6,0,15,9,0,1
471,Tikamgarh,Madhya Pradesh,Green,4,0,23,7,0,1
472,Neemuch,Madhya Pradesh,Red,66,3,18,3,2,1
473,Rewa,Madhya Pradesh,Green,15,0,37,9,3,1
474,Satna,Madhya Pradesh,Green,15,0,45,9,2,1
475,Guna,Madhya Pradesh,Green,2,0,5,5,1,1
476,Ashoknagar,Madhya Pradesh,Green,10,1,6,2,2,1
477,Mandsaur,Madhya Pradesh,Red,65,5,40,7,2,1
478,Singrauli,Madhya Pradesh,Green,7,0,13,7,0,1
479,Sidhi,Madhya Pradesh,Green,8,0,28,6,0,1
480,Sagar,Madhya Pradesh,Green,42,2,32,11,3,1
481,Damoh,Madhya Pradesh,Green,6,0,13,6,1,1
482,Shajapur,Madhya Pradesh,Green,9,1,17,4,3,1
483,Vidisha,Madhya Pradesh,Green,25,0,13,7,2,1
484,Rajgarh,Madhya Pradesh,Green,2,0,24,5,4,1
485,Shahdol,Madhya Pradesh,Green,3,0,20,7,1,1
486,Katni,Madhya Pradesh,Green,1,0,20,6,1,1
487,Umaria,Madhya Pradesh,Green,2,0,13,3,0,1
488,Ratlam,Madhya Pradesh,Green,31,0,28,6,2,1
489,Bhopal,Madhya Pradesh,Red,1103,41,10,2,3,1
490,Ujjain,Madhya Pradesh,Red,411,49,19,5,6,1
491,Raisen,Madhya Pradesh,Green,67,3,19,7,3,1
492,Sehore,Madhya Pradesh,Green,6,1,18,8,2,1
493,Jabalpur,Madhya Pradesh,Red,201,9,24,6,3,1
494,Dewas,Madhya Pradesh,Red,80,8,11,7,2,1
495,Anuppur,Madhya Pradesh,Green,2,0,14,8,0,1
496,Jhabua,Madhya Pradesh,Green,11,1,21,5,2,1
497,Dindori,Madhya Pradesh,Green,9,0,21,7,0,1
498,Narsimhapur,Madhya Pradesh,Green,0,0,23,7,1,1
499,Dhar,Madhya Pradesh,Red,105,3,49,15,1,1
500,Indore,Madhya Pradesh,Red,2896,110,33,6,3,1
501,Mandla,Madhya Pradesh,Green,1,0,34,8,1,1
502,Hoshangabad,Madhya Pradesh,Green,37,4,16,6,2,1
503,Seoni,Madhya Pradesh,Green,2,0,26,5,3,1
504,Alirajpur,Madhya Pradesh,Green,5,0,16,6,0,1
505,Chhindwara,Madhya Pradesh,Green,4,1,64,11,4,1
506,Harda,Madhya Pradesh,Green,1,0,7,4,0,1
507,West Nimar,Madhya Pradesh,Green,117,8,58,10,2,1
508,East Nimar,Madhya Pradesh,Red,201,10,24,7,1,1
509,Balaghat,Madhya Pradesh,Green,3,0,34,7,3,1
510,Barwani,Madhya Pradesh,Green,39,0,21,8,2,1
511,Agar Malwa,Madhya Pradesh,Green,13,1,,,,
512,Datia,Madhya Pradesh,Green,5,0,11,4,2,1
513,Chhatarpur,Madhya Pradesh,Green,0,0,27,10,0,1
514,Panna,Madhya Pradesh,Green,3,0,14,6,0,1
515,Betul,Madhya Pradesh,Green,13,0,31,9,1,1
516,Valsad,Gujarat,Yellow,18,1,31,10,2,0
517,Amreli,Gujarat,Green,4,0,6,12,3,1
518,The Dangs,Gujarat,Yellow,2,0,0,3,0,1
519,Banas Kantha,Gujarat,Red,99,4,81,27,3,1
520,Patan,Gujarat,Yellow,71,3,25,15,0,1
521,Mahesana,Gujarat,Yellow,99,4,27,12,3,1
522,Gandhinagar,Gujarat,Red,210,10,13,9,1,0
523,Ahmadabad,Gujarat,Red,10001,669,83,16,2,0
524,Panch Mahals,Gujarat,Red,72,6,31,13,0,1
525,Dohad,Gujarat,Yellow,32,0,37,21,1,0
526,Vadodara,Gujarat,Red,806,35,46,10,0,1
527,Bharuch,Gujarat,Yellow,37,3,26,10,0,1
528,Porbandar,Gujarat,Green,6,0,7,4,0,1
529,Narmada,Gujarat,Yellow,15,0,13,4,1,1
530,Surat,Gujarat,Red,1285,60,55,21,1,0
531,Tapi,Gujarat,Yellow,6,0,28,8,0,1
532,Aravalli,Gujarat,Red,98,3,,,,
533,Botad,Gujarat,Yellow,56,1,,,,
534,Chota Udaipur,Gujarat,Yellow,22,0,,,,
535,Mahisagar,Gujarat,Yellow,79,1,,,,
536,Gir Somnath,Gujarat,Yellow,44,0,,,,
537,Sabar Kantha,Gujarat,Yellow,63,2,16,13,1,0
538,Kachchh,Gujarat,Yellow,64,1,32,17,2,0
539,Surendranagar,Gujarat,Yellow,23,0,46,12,2,1
540,Rajkot,Gujarat,Yellow,87,2,47,13,4,1
541,Kheda,Gujarat,Yellow,59,3,25,15,1,1
542,Anand,Gujarat,Red,90,9,33,14,1,1
543,Bhavnagar,Gujarat,Red,114,8,15,5,0,1
544,Junagadh,Gujarat,Green,26,0,32,10,0,0
545,Jamnagar,Gujarat,Yellow,46,2,16,9,0,0
546,Devbhoomi Dwarka,Gujarat,Green,12,0,,,,
547,Morbi,Gujarat,Green,3,0,,,,
548,Navsari,Gujarat,Yellow,15,0,25,12,2,1
549,Daman,Daman & Diu,Green,0,0,0,1,0,1
